# Kök denetim çalışma listesi — incelenmemiş çok-lemmalı kökler (sıklık sıralı)
# Karar: 'temiz' (tek kavram alanı) ya da tabloya ayrım ekle. Bittikçe kok_denetim.json güncellenir.

أله	n=2851	اللّه:2699 إله:147 اللّهمّ:5
خلف	n=127	اختلف:35 خلف:27 أخلف:14 مختلف:10 خليفة:9 اختلاف:7 خلاف:6 استخلف:5 مخلّف:4 خوالف:2 يخالف:2 خالف:1
دخل	n=126	دخل:78 أدخل:42 مدخل:3 داخل:2 مدّخل:1
أول	n=125	أوّل:82 آل:26 تأويل:17
خوف	n=124	خاف:83 خوف:26 خيفة:6 يخوّف:4 خائف:3 تخوّف:1 تخويف:1
رزق	n=123	رزق:116 رازق:6 رزّاق:1
عزز	n=120	عزيز:101 عزّة:11 أعزّ:3 عزّ:2 تعزّ:1 عزّز:1 العزّى:1
جزي	n=118	جزى:73 جزاء:42 جزية:1 جاز:1 نجازي:1
أمم	n=118	أمّة:64 أمّ:34 إمام:12 أمّيّ:6 آمّ:1 أمام:1
أبو	n=117	آباء:64 أب:46 أبوان:7
أكل	n=109	أكل:104 آكل:3 أكّال:1 مأكول:1
حسب	n=109	حسب:55 حساب:39 حاسب:5 حسيب:4 حسبان:3 يحتسب:3
فعل	n=108	فعل:89 فاعل:9 مفعول:7 فعّال:2 فعلت:1
أجر	n=108	أجر:105 استأجر:2 تأجر:1
عدو	n=106	عدوّ:50 اعتدى:15 عدوان:8 عاد:6 معتدي:6 عداوة:6 يتعدّ:3 يعد:3 معتد:3 عدو:2 عدوة:2 عادي:1
رجع	n=104	رجع:82 مرجع:16 راجع:4 يتراجع:1 رجعى:1
فضل	n=104	فضل:84 فضّل:17 تفضيل:2 يتفضّل:1
صبر	n=103	صبر:73 صابر:21 صبّار:4 اصطبر:3 صابرة:2
شدد	n=102	شديد:56 أشدّ:39 شدد:6 اشتدّت:1
ولد	n=102	ولد:65 والد:14 والدي:10 وليد:7 والدة:3 مولود:3
صلو	n=99	صلاة:83 صلّى:12 مصلّي:3 مصلّى:1
صحب	n=97	أصحاب:78 صاحب:12 صاحبة:4 تصاحب:2 يصحب:1
قرب	n=96	قريب:26 أقرب:19 قربى:16 يقرب:11 مقرّب:8 قرّب:5 اقترب:5 قربان:3 قربة:2 مقربة:1
بغي	n=96	ابتغى:34 بغى:25 ابتغاء:14 بغي:11 ينۢبغي:6 باغ:3 بغيّ:2 بغاء:1
أخو	n=96	أخ:75 أخت:14 إخوة:7
حبب	n=95	أحبب:64 حبّ:16 حبّة:5 استحبّ:4 أحبّ:3 أحبّاؤ:1 محبّة:1 حبّب:1
سجد	n=92	سجد:35 مسجد:28 ساجد:23 سجود:6
ليل	n=92	ليل:84 ليلة:8
قرأ	n=88	قرءان:70 قرأ:16 قروء:1 نقرئ:1
خلد	n=87	خالد:74 خلد:6 أخلد:2 يخلد:2 مخلّد:2 خلود:1
توب	n=87	تاب:63 توّاب:12 توبة:7 متاب:2 تائب:1 توب:1 تائبة:1
أحد	n=85	أحد:74 إحدى:11
نجو	n=84	نجّى:37 أنجى:23 نجوى:11 تناجي:4 نجا:2 نجيّ:2 منجّو:2 ناج:1 نجاة:1 ناجي:1
سوي	n=83	استوى:35 سواء:27 سوّى:13 سويّ:5 تسوّى:1 ساوى:1 سوى:1
حرم	n=83	حرّم:39 حرام:33 محرّم:4 محروم:4 حرمة:2 محرّمة:1
زوج	n=81	زوج:76 زوّجت:5
عقب	n=80	عاقبة:32 عقاب:20 عقب:9 عقبى:6 عاقب:6 يعقّب:2 عقبة:2 أعقب:1 معقّبة:1 معقّب:1
عرض	n=79	أعرض:32 عرض:21 معرض:19 إعراض:2 عارض:2 عرضة:1 عرّض:1 عريض:1
وجه	n=78	وجه:72 وجيه:2 وجّه:2 وجهة:1 توجّه:1
وحي	n=78	أوحى:72 وحى:6
صوب	n=77	أصاب:64 مصيبة:10 صيّب:1 مصيب:1 صواب:1
بلغ	n=77	بلغ:40 بلاغ:15 بلّغ:6 بالغ:6 أبلغ:5 بالغة:3 بليغ:1 مبلغ:1
قلل	n=76	قليل:70 أقلّ:2 قليلة:1 قلّ:1 أقلّت:1 يقلّل:1
ألم	n=75	أليم:72 يألم:3
كلم	n=75	كلمة:42 كلّم:20 كلام:4 كلم:4 يتكلّم:4 تكليم:1
شكر	n=75	شكر:47 شاكر:14 شكور:12 مشكور:2
ضرر	n=74	ضرّ:29 يضرّ:19 ضرّاء:9 اضطرّ:7 يضارّ:3 ضارّ:2 ضرار:2 مضارّ:1 ضرر:1 مضطرّ:1
بأس	n=73	بئس:40 بأس:25 بأساء:4 تبتئس:2 بئيس:1 بائس:1
رضو	n=73	رضي:38 رضوان:13 مرضات:5 تراض:4 راضية:4 يرض:3 ارتضى:3 رضيّ:1 مرضيّ:1 مرضيّة:1
بيت	n=73	بيت:65 بيّت:4 بيات:3 يبيت:1
غني	n=73	أغنت:28 غنيّ:24 أغنى:15 استغنى:4 مغني:2
فرق	n=72	فريق:33 فرّق:9 تفرّق:8 فرق:7 فرقان:7 فراق:2 تفريق:1 فرقة:1 متفرّق:1 متفرّقة:1 فارق:1 فارقة:1
يمن	n=71	يمين:65 أيمن:3 ميمنة:3
متع	n=70	متاع:35 متّع:18 تمتّع:11 استمتع:6
علو	n=70	تعالى:14 عليّ:11 أعلى:9 تعال:8 عالي:6 علا:6 علوّ:4 عليا:3 أعلون:2 عالية:2 علّيّ:2 عال:1
وكل	n=70	توكّل:40 وكيل:24 متوكّل:4 وكّل:2
سكن	n=69	مسكين:23 سكن:18 مسكن:12 سكينة:6 أسكن:5 مسكنة:2 سكّين:1 مسكونة:1 ساكن:1
ظنن	n=69	ظنّ:68 ظانّ:1
حمد	n=68	حمد:43 حميد:17 محمّد:4 يحمد:1 حامد:1 محمود:1 أحمد:1
وحد	n=68	واحدة:31 واحد:30 وحد:6 وحيد:1
هلك	n=68	أهلك:51 مهلك:8 هلك:5 هالك:2 تهلكة:1 مهلكي:1
بعث	n=67	بعث:56 مبعوث:9 انبعاث:1 انۢبعث:1
كسب	n=67	كسب:62 اكتسب:5
وفي	n=66	توفّى:24 أوفى:20 وفّى:18 موفي:1 متوفّي:1 موفّو:1 يستوف:1
جرم	n=66	مجرم:52 أجرم:5 جرم:5 يجرم:3 إجرام:1
خسر	n=65	خاسر:32 خسر:18 أخسر:4 خسران:3 خسار:3 يخسر:2 تخسير:1 مخسر:1 خاسرة:1
عين	n=65	عين:61 معين:4
جري	n=64	جري:57 جوار:3 جارية:3 مجرى:1
حمل	n=64	حمل:51 حمّل:5 احتمل:3 حمولة:1 حامل:1 حاملة:1 أحمال:1 حمّالة:1
تلو	n=63	تلى:61 تلاوت:1 تالية:1
قضي	n=63	قضى:59 مقضيّ:2 قاض:1 قاضية:1
عود	n=63	عاد:42 أعيد:18 عيد:1 معاد:1 عائد:1
ذوق	n=63	ذاق:36 أذاق:22 ذائقة:3 ذائقوا:2
زيد	n=61	زاد:49 ازداد:8 زيادة:2 مزيد:2
مسس	n=61	مسّ:58 يتماسّ:2 مساس:1
غيب	n=60	غيب:49 غيوب:4 غائب:3 غيابت:2 غائبة:1 يغتب:1
فتن	n=60	فتنة:34 فتن:23 فتون:1 فاتن:1 مفتون:1
فري	n=60	افترى:50 افتراء:2 مفتري:2 مفترى:2 مفترية:1 مفتر:1 فريّ:1 يفتري:1
زكو	n=59	زكاة:32 زكّى:12 تزكّى:8 أزكى:4 زكيّة:1 زكيّ:1 زكى:1
ظهر	n=59	ظهر:25 ظاهر:14 أظهر:8 ظهير:6 تظاهر:2 ظاهرة:2 ظهريّ:1 ظهيرة:1
ردد	n=59	ردّ:38 ارتدّ:8 مردّ:6 رادّ:3 مردود:2 يتردّد:1 رادّي:1
عدد	n=57	أعدّ:20 عدّة:12 عدّ:9 معدودة:6 عدد:6 معدود:1 عادّ:1 تعتدّ:1 عدّد:1
نهي	n=56	نهى:34 انتهى:16 منتهى:3 يتناه:1 منتهي:1 ناهي:1
أجل	n=56	أجل:53 أجّل:2 مؤجّل:1
دور	n=55	دار:48 دائرة:3 تدير:1 دوائر:1 تدور:1 ديّار:1
فسق	n=54	فاسق:37 فسق:13 فسوق:4
ندي	n=53	نادى:44 نداء:2 نادي:2 تناد:2 منادي:1 نديّ:1 مناد:1
خبر	n=52	خبير:45 خبر:4 أخبار:3
ضعف	n=52	ضعف:17 يضاعف:9 ضعيف:8 استضعف:8 مستضعف:5 أضعف:2 مضاعفة:1 ضعاف:1 مضعف:1
حلل	n=51	أحلّ:20 حلل:14 حلال:6 حلّ:5 محلّ:3 حلائل:1 محلّي:1 تحلّة:1
فسد	n=50	مفسد:21 أفسد:15 فساد:11 فسدت:3
طيب	n=50	طيّبة:30 طيّب:16 طاب:3 طوبى:1
نفع	n=50	نفع:42 منافع:8
سوع	n=49	ساعة:48 سواع:1
طعم	n=48	طعام:24 أطعم:13 طعم:6 إطعام:3 طاعم:1 استطعم:1
خشي	n=48	خشي:40 خشية:8
أثم	n=48	إثم:35 أثيم:7 آثم:3 تأثيم:2 أثام:1
قدم	n=48	قدّم:27 قدم:10 يستقدم:4 قديم:3 تقدّم:2 مستقدم:1 أقدم:1
عجل	n=47	استعجل:19 عجل:16 عجّل:5 عاجلة:3 تعجّل:1 استعجال:1 عجول:1 أعجل:1
كرم	n=47	كريم:30 أكرم:6 مكرم:6 كرّم:2 إكرام:2 مكرّمة:1
عهد	n=46	عهد:35 عاهد:11
زين	n=46	زيّن:26 زينة:19 ازّيّنت:1
صدر	n=46	صدر:44 يصدر:2
نسي	n=45	نسي:36 أنسى:7 منسيّ:1 نسيّ:1
بدل	n=44	بدّل:23 تبديل:7 يستبدل:3 يتبدّل:3 مبدّل:3 يبدل:3 استبدال:1 بدل:1
سرر	n=44	أسرّ:18 سرّ:11 سرر:6 سرّاء:2 إسرار:2 مسرور:2 تسرّ:1 سرور:1 سرائر:1
يسر	n=44	يسير:15 يسّر:11 يسر:7 ميسر:3 استيسر:2 تيسّر:2 يسرى:2 ميسرة:1 ميسور:1
حفظ	n=44	حافظ:13 حفيظ:12 حفظ:10 يحافظ:4 حافظة:2 محفوظ:2 استحفظ:1
دبر	n=44	دبر:18 مدبر:8 يتدبّر:4 دابر:4 يدبّر:4 أدبر:4 إدبار:1 مدبّرة:1
ترك	n=43	ترك:40 تارك:3
فوق	n=43	فوق:41 أفاق:1 فواق:1
جوب	n=43	استجاب:28 أجيبت:8 جواب:4 مجيب:2 جاب:1
حشر	n=43	حشر:39 حاشر:3 محشورة:1
فصل	n=43	فصّل:17 فصل:14 تفصيل:5 فصال:3 فاصل:1 مفصّل:1 مفصّلة:1 فصيلت:1
مكر	n=43	مكر:41 ماكر:2
حزن	n=42	يحزن:37 حزن:5
بحر	n=42	بحر:41 بحيرة:1
قوي	n=42	قوّة:30 قويّ:11 مقوي:1
سخر	n=42	سخّر:22 سخر:11 مسخّرة:3 سخريّ:3 مسخّر:1 يستسخر:1 ساخر:1
صدد	n=42	صدّ:40 صدود:1 صديد:1
لعن	n=41	لعن:24 لعنة:14 لاعن:1 ملعونة:1 ملعون:1
طوف	n=41	طائفة:24 طاف:8 طائف:4 يطّوّف:2 طوفان:2 طوّاف:1
كره	n=41	كره:25 كاره:7 أكره:5 إكراه:2 مكروه:1 كرّه:1
جهد	n=41	جاهد:27 جهد:6 مجاهد:4 جهاد:4
جبل	n=41	جبل:39 جبلّة:2
فلح	n=40	أفلح:27 مفلح:13
ملأ	n=40	ملأ:30 ملئت:6 مالئ:2 ملء:1 امتلأ:1
طغي	n=39	طغى:12 طغيان:9 طاغوت:8 طاغي:6 أطغي:1 أطغى:1 طاغية:1 طغوى:1
شرب	n=39	شرب:19 شراب:11 شارب:5 مشرب:3 أشرب:1
ذنب	n=39	ذنب:37 ذنوب:2
سلط	n=39	سلطان:37 سلّط:2
قرر	n=38	مستقرّ:13 قرار:9 تقرّ:5 أقرر:4 قرّة:3 قواريرا:3 استقرّ:1
بلو	n=38	بلو:20 ابتلى:8 بلاء:6 مبتلي:2 يبلي:2
فتح	n=38	فتح:28 استفتح:3 مفاتح:3 تفتّح:1 فاتح:1 فتّاح:1 مفتّحة:1
هوي	n=38	أهواء:17 هواء:11 هوى:8 استهوت:1 هاوية:1
مرأ	n=38	امرأت:26 امرئ:5 مرء:4 مريئ:1 امرؤا:1 امرأ:1
ذرر	n=38	ذرّيّة:32 ذرّة:6
سبق	n=37	سبق:21 سابق:8 استبق:5 مسبوق:2 سابقة:1
ألو	n=37	آلاء:34 يؤل:1 يأل:1 يأتل:1
نكر	n=37	منكر:21 نكر:5 نكير:5 ينكر:3 منكرة:1 نكّر:1 أنكر:1
ريب	n=36	ريب:18 ارتاب:9 مريب:7 ريبة:1 مرتاب:1
قطع	n=36	قطع:16 قطّع:12 تقطّع:5 مقطوع:1 قاطعة:1 مقطوعة:1
بطل	n=36	باطل:26 مبطل:5 يبطل:4 بطل:1
حدث	n=36	حديث:28 تحدّث:3 يحدث:3 محدث:2
أوي	n=36	مأوى:22 آوى:9 أوى:5
عفو	n=35	عفا:27 عفوّ:5 عفو:2 عافي:1
غفل	n=35	غافل:27 غفلة:5 تغفل:1 أغفل:1 غافلة:1
مرر	n=35	مرّة:21 مرّ:11 مستمرّ:2 أمرّ:1
ورث	n=35	ورث:13 أورث:12 وارث:7 ميراث:2 تراث:1
كيد	n=35	كيد:34 مكيد:1
هزأ	n=34	استهزئ:21 هزو:11 مستهزء:2
وثق	n=34	ميثاق:25 موثق:3 وثقى:2 وثاق:2 واثق:1 يوثق:1
جنح	n=34	جناح:32 جنح:2
خفي	n=34	أخفي:18 يخفى:6 يستخف:3 خفية:2 خفيّ:2 مستخف:1 أخفى:1 خافية:1
عمي	n=33	أعمى:21 عمي:9 عمى:2 عمّيت:1
ظلل	n=33	ظلّ:23 ظلّة:6 ظلّل:2 ظليل:2
كفي	n=33	كفى:32 كاف:1
عرش	n=33	عرش:29 معروشة:2 يعرش:2
جنب	n=33	جنب:12 اجتنب:9 جانب:9 اجنب:1 يتجنّب:1 يجنّب:1
قسم	n=33	أقسم:20 قسم:4 قسمة:3 تستقسم:1 قاسم:1 مقسوم:1 مقتسم:1 تقاسم:1 مقسّمة:1
مدد	n=32	مدّ:15 أمدّ:10 ممدود:2 ممدّ:1 مدّت:1 مداد:1 مدد:1 ممدّدة:1
برر	n=32	برّ:30 تبرّ:2
عصي	n=32	عصا:27 عصيّ:2 معصيت:2 عصيان:1
وري	n=32	وراء:24 وۥري:4 توارت:2 تور:1 مورية:1
وسع	n=32	وسع:11 واسع:9 سعة:6 واسعة:4 موسع:2
وصي	n=32	وصّى:11 وصيّة:8 أوصا:5 تواص:5 موص:1 يوصي:1 توصية:1
ثلث	n=32	ثلاثة:13 ثلاث:10 ثلث:6 ثالث:2 ثالثة:1
نصب	n=32	نصيب:21 نصب:8 نصبت:2 ناصبة:1
برك	n=32	تبارك:9 مبارك:8 بارك:8 مباركة:4 بركة:3
طهر	n=31	طهّر:9 مطهّرة:5 تطهّر:5 أطهر:4 مطهّر:2 طهور:2 يطهر:1 متطهّر:1 مطّهّر:1 تطهير:1
بدو	n=31	يبدي:15 بدا:11 بادي:2 بدو:1 باد:1 مبدي:1
شفع	n=31	شفاعة:13 شفيع:10 يشفع:5 شافع:2 شفع:1
برأ	n=31	بريء:12 تبرّأ:5 بارئ:3 تبرئ:2 براءة:2 برّأ:2 بريّة:2 مبرّء:1 براء:1 نبرأ:1
خلص	n=31	مخلص:20 خالصة:5 أخلص:2 خالص:2 أستخلص:1 خلص:1
قعد	n=31	قعد:12 قاعد:7 مقعد:4 قعود:4 قواعد:3 قعيد:1
شرر	n=31	شرّ:30 شرر:1
هجر	n=31	هاجر:16 مهاجر:7 اهجر:5 مهجور:1 مهاجرة:1 هجر:1
غلب	n=31	غلب:17 غالب:13 مغلوب:1
لبث	n=31	لبث:30 لابث:1
هود	n=30	هاد:11 هود:10 يهود:9
سعي	n=30	سعى:20 سعي:10
صرف	n=30	صرف:15 صرّف:10 تصريف:2 انصرف:1 مصروف:1 مصرف:1
قصص	n=30	قصّ:20 قصص:6 قصاص:4
أنث	n=30	أنثى:24 أنثيين:6
أفك	n=30	أفك:16 إفك:9 مؤتفكة:3 أفّاك:2
غشو	n=29	غشي:13 أغشيت:4 غاشية:3 غشّى:3 غشاوة:2 استغش:2 تغشّى:1 مغشيّ:1
ثني	n=29	اثنين:13 اثنتين:7 مثنى:3 ثاني:2 مثاني:2 يثن:1 يستثن:1
رفع	n=29	رفع:22 مرفوعة:3 رافع:1 رفيع:1 مرفوع:1 رافعة:1
ودد	n=29	ودّ:19 مودّة:8 ودود:2
صير	n=29	مصير:28 تصير:1
جدل	n=29	جادل:25 جدال:2 جدل:2
فوز	n=29	فوز:19 فائز:4 فاز:3 مفازة:2 مفاز:1
دري	n=29	أدرى:17 تدري:12
يقن	n=28	يوقن:12 يقين:8 موقن:5 استيقنت:2 مستيقن:1
خلو	n=28	خلا:25 خلّ:1 خالية:1 تخلّت:1
حوط	n=28	أحاط:17 محيط:9 محيطة:2
سبع	n=28	سبع:24 سبعة:4
شقق	n=28	شقاق:7 شاقّ:7 انشقّ:5 يشّقّق:3 شقّ:2 شقق:2 شقّة:1 أشقّ:1
ثوب	n=28	ثواب:13 ثياب:8 أثاب:3 مثوبة:2 مثابة:1 ثوّب:1
رجو	n=28	يرجوا۟:22 ترجي:3 مرجون:1 مرجوّ:1 أرجائ:1
ثقل	n=28	مثقال:8 ثقل:6 ثقيل:5 ثقلت:4 مثقل:2 أثقلت:1 اثّاقل:1 مثقلة:1
نشأ	n=28	أنشأ:20 نشأة:3 ينشّؤا۟:1 منشآت:1 إنشاء:1 منشئ:1 ناشئة:1
شجر	n=27	شجرة:19 شجر:8
منن	n=27	منّ:22 ممنون:4 منون:1
عشر	n=27	عشر:11 عشرة:5 معشر:3 عشيرت:3 عاشر:1 عشرون:1 عشير:1 معشار:1 عشار:1
عجب	n=27	عجب:13 أعجب:11 عجيب:2 عجاب:1
مسك	n=27	أمسك:18 استمسك:3 إمساك:1 يمسّك:1 ممسك:1 ممسكة:1 مستمسك:1 مسك:1
غرر	n=27	غرّ:15 غرور:12
سير	n=27	سار:16 سيّرت:5 سيّارة:3 سير:2 سيرت:1
وزر	n=27	وزر:13 يزر:7 وازرة:5 وزير:2
مدن	n=27	مدينة:14 مدين:10 مدائن:3
نبت	n=26	أنۢبت:16 نبات:9 تنۢبت:1
خزي	n=26	أخزي:12 خزى:11 مخزي:1 نخزى:1 أخزى:1
وضع	n=26	وضع:21 مواضع:3 أوضع:1 موضوعة:1
عجز	n=26	معجز:12 يعجز:4 عجوز:4 معاجز:3 أعجاز:2 عجز:1
شري	n=25	اشترى:21 شر:4
حول	n=25	حول:18 حال:3 تحويل:3 حيلة:1
سقي	n=25	سقى:12 أسقي:8 استسقى:2 سقاية:2 سقيا:1
وعظ	n=25	وعظ:15 موعظة:9 واعظ:1
حضر	n=25	محضر:10 حضر:7 أحضرت:3 حاضرة:2 حاضري:1 حاضر:1 محتضر:1
بطن	n=25	بطن:19 باطن:3 بطانة:2 باطنة:1
حدد	n=25	حدود:14 حديد:6 حادّ:2 يحادّ:2 حداد:1
بسط	n=25	بسط:17 باسط:4 بصطة:2 مبسوطتان:1 بساط:1
قسط	n=25	قسط:15 تقسط:3 مقسط:3 أقسط:2 قاسط:2
وهب	n=25	وهب:22 وهّاب:3
صلي	n=25	يصلى:13 أصلي:4 تصطل:2 صالوا:2 صليّ:1 صال:1 تصلية:1 صلّ:1
غضب	n=24	غضب:20 غضبان:2 مغضوب:1 مغاضب:1
مرض	n=24	مرض:14 مريض:10
ثمر	n=24	ثمرة:17 ثمر:5 أثمر:2
ذلل	n=24	ذلّة:7 أذلّة:4 ذلّ:3 ذلول:2 ذلّلت:2 أذلّ:2 تذلّ:1 ذلل:1 نذلّ:1 تذليل:1
جهل	n=24	جاهل:10 يجهل:5 جاهليّة:4 جهالة:4 جهول:1
عمر	n=24	عمر:12 يعمّر:5 عمرة:2 اعتمر:1 عمارة:1 استعمر:1 معمّر:1 معمور:1
فحش	n=24	فاحشة:17 فحشاء:7
رقب	n=24	رقبة:9 رقيب:5 ارتقب:4 يرقب:3 يترقّب:2 مرتقب:1
أذي	n=24	أوذي:15 أذى:9
وقع	n=24	وقع:12 واقع:6 واقعة:2 يوقع:1 مواقعو:1 وقعت:1 مواقع:1
مشي	n=23	مش:21 مشي:1 مشّاء:1
غرق	n=23	أغرق:17 مغرق:4 غرق:2
سرع	n=23	سريع:10 يسارع:9 أسرع:2 سراع:2
نكح	n=23	نكح:14 نكاح:5 تنكح:3 يستنكح:1
طلق	n=23	طلّق:10 انطلق:9 طلاق:2 مطلّقة:2
سرف	n=23	مسرف:15 أسرف:6 إسراف:2
